"","Razo Social","NomeDeFantasia","logradouro","Bairro","Telefone","lat","lon","TipoDaUnidade","TipoDeEstablecimento"
"38","ASSOCIACAO DE APOIO A TERCEIRA IDADE","AATI - COPA","PRACA SERZEDELO CORREIA","COPACABANA","32215300",-22.9695202,-43.1834919,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"39","AB 2010 CLINICA DE OLHOS LTDA","AB 2010 CLINICA DE OLHOS ACYOLI BRITO JUNIOR","RUA URUGUAIANA","CENTRO","2122214519",-22.9050075,-43.1797197,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"40","BOTTREL HEITOR RADIOLOGIA ODONTOLOGICA","AB RADIOLOGIA E ODONTOLOGIA","RUA SIDONIO PAIS","CASCADURA","39793958",-22.8796718,-43.3259379,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"41","ASSOCIACAO BRASILEIRA BENEFICENTE DE REABILITACAO - ABBR","ABBR","RUA JARDIM BOTANICO","JARDIM BOTANICO","(21)3528 6355",-22.9644938,-43.2179446,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"42","ABDO E ROALE SERVICOS ODONTOLOGICOS LTDA","ABDO E ROALE SERVICOS ODONTOLOGICOS","AVENIDA HEITOR BELTRAO","TIJUCA","25697054",-22.9197864,-43.221964,"22","CONSULTORIO ISOLADO"
"43","ABEL FERREIRA CARNEIRO ORTOPEDIA LTDA ME","ABEL FERREIRA CARNEIRO ORTOPEDIA","RUA ARQUIAS CORDEIRO","MEIER","35533873",-22.9024902,-43.2767456,"22","CONSULTORIO ISOLADO"
"44","ABF SOUTO CLINICA MEDICA E SEGURANCA DO TRABALHO LTDA. - ME","ABF SOUTO CLINICA MEDICA E SEGURANCA DO TRABALHO","RUA MOURA BRITO","TIJUCA","22185827",-22.9255326,-43.2272531,"22","CONSULTORIO ISOLADO"
"45","ABRAHAO E ROMAO ODONTOLOGIA REABILITADORA E ESTETICA LTDA","ABRAHAO E ROMAO ODONTOLOGIA REABILITADORA E ESTETICA","RUA CARVALHO DE SOUZA","MADUREIRA","2124501879",-22.8755953,-43.3358888,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"46","ABRAMED ASSISTENCIA MEDICA LTDA","ABRAMED ASSISTENCIA MEDICA","ESTRADA RODRIGUES CALDAS","TAQUARA","33422443",-22.9230355,-43.3776329,"22","CONSULTORIO ISOLADO"
"47","ASSOCIACAO BRASILEIRA DE REABITACAO MENTAL E FISICA LTDA","ABREMEF - ASSOCIACAO BRASILEIRA DE REABILITACAO MENTAL E FIS","PRACA SAIQUI","VILA VALQUEIRE","21 24538340",-22.8841038,-43.3674617,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"48","ABREU E SENDRA ODONTOLOGIA LTDA","ABREU E SENDRA ODONTOLOGIA","RUA HERMENGARDA","MEIER","22290377",-22.9026074,-43.2801923,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"49","CASA DE REPOUSO SEPETIBA LTDA","ABRIGO DOUTOR NILZO","RUA DA FLORESTA","SEPETIBA","2133177976",-22.9721512,-43.7074147,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"50","ACAFE LABORATORIOS MEDICOS LTDA","ACAFE LABORATORIOS MEDICOS - SERGIO FRANCO","RUA DO CATETE","CATETE","25574105",-22.9314622,-43.1775954,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"51","ACAO CRISTA VICENTE MORETTI","ACAO CRISTA VICENTE MORETTI","RUA MARAVILHA","BANGU","(21)3463-8193",-22.8785343,-43.4575756,"5","HOSPITAL GERAL"
"52","ACHTCHIN E DRUMOND - SERVICOS MEDICOS LTDA.","ACHTCHIN E DRUMOND - SERVICOS MEDICOS","ESTRADA DOS TRES RIOS","FREGUESIA","",-22.939276,-43.341735,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"53","ALMEIDA CENTRO DE ODONTOLOGIA INTEGRADA LTDA ME","ACOI - ODONTOLOGIA INTEGRADA","AVENIDA PRESIDENTE VARGAS","CENTRO","35071864",-22.9016656,-43.1812439,"22","CONSULTORIO ISOLADO"
"54","ACPS ASSESSORIA DE SERVICOS MEDICOS","ACPS ASSESSORIA DE SERVICOS MEDICOS","AV NILO PECANHA","CENTRO","(21)25174216",-22.9064622,-43.1767538,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"55","ACWCOSTA SERVICOS MEDICOS LTDA","ACWCOSTA SERVICOS MEDICOS","RUA SIQUEIRA CAMPOS","COPACABANA","(21)22554356",-22.9646697,-43.1906277,"22","CONSULTORIO ISOLADO"
"56","DIAGNOSTICOS DA AMERICA S.A","ADLAB - LEBLON","AVENIDA ATAULFO DE PAIVA","IPANEMA","2227-8080",-22.9839592,-43.2206926,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"57","UNADERM UNIDADE DE ALERGIA E DERMATOLOGIA S/C LTDA.","ADRIANA AQUINO CLINICA DERMATOLOGICA","RUA VISCONDE DE PIRAJA","IPANEMA","21-22879696",-22.9841612,-43.2083257,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"58","ADRIANA LOPES MACEDO","ADRIANA LOPES MACEDO","AVN DAS AMERICAS","BARRA DA TIJUCA","3882-5222",-22.9996874,-43.3485302,"22","CONSULTORIO ISOLADO"
"59","ADRIANA QUINTANS ODONTOLOGIA INTEGRADA LTDA","ADRIANA QUINTANS ODONTOLOGIA INTEGRADA","RUA DOIS DE DEZEMBRO","FLAMENGO","21 22852742",-22.9297655,-43.1768741,"22","CONSULTORIO ISOLADO"
"60","CONSULTORIO PEDIATRICO MARECHAL HERMES LTDA","ADUM E ADUM PEDIATRAS","RUA AURELIO VALPORTO","MARECHAL HERMES","2124515180",-22.8582271,-43.3701229,"22","CONSULTORIO ISOLADO"
"61","AEDP CENTRO DE NEUROPSICOTERAPIA LTDA","AEDP CENTRO DE NEUROPSICOTERAPIA","RUA GENERAL VENANCIO FLORES","LEBLON","22212063",-22.9845753,-43.2252382,"22","CONSULTORIO ISOLADO"
"62","AF SERVICOS MEDICOS E CIRURGICOS LTDA","AF SERVICOS MEDICOS E CIRURGICOS","ESTRADA DO DENDE","MONERO","21220755",-22.7971636,-43.193596,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"63","ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA","AFIP - TDN","RUA PAULO BARRETO","BOTAFOGO","32090898",-22.9552,-43.1863305,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"64","AFONSO DUARTE SERVICOS MEDICOS LTDA","AFONSO DUARTE SERVICOS MEDICOS","RUA VISCONDE DE PIRAJA","IPANEMA","21 25219995",-22.9843885,-43.2056349,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"65","AIR ASSISTENCIA INTENSIVA RESPIRATORIA LTDA","AIR ASSISTENCIA INTENSIVA RESPIRATORIA","AV. DAS AMERICAS","BARRA DA TIJUCA","30781508",-22.9994202,-43.3579828,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"66","NEW AIR LIFE CLINICA DE ALERGIA E DOENCAS RESPIRATORIAS LTDA","AIR CLINIC","AV. DAS AMERICAS","BARRA DA TIJUCA","2494-9049",-23.0038509,-43.3217863,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"67","AIS ASSISTENCIA INTEGRAL A SAUDE LTDA","AIS ASSISTENCIA INTEGRAL A SAUDE","ESTRADA DO PORTELA","MADUREIRA","2133900636",-22.8726776,-43.3389441,"22","CONSULTORIO ISOLADO"
"68","AJ SERVICOS PSICOLOGISOC 125 LTDA","AJ SERVICOS","RUA ESPUMAS","JARDIM GUANABARA","32836856",-22.8116781,-43.2099891,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"69","AJC ASSISTENCIA MEDICA LTDA","AJC ASSISTENCIA MEDICA","RUA VOLUNTARIOS DA PATRIA","BOTAFOGO","2125381973",-22.9526989,-43.1883571,"22","CONSULTORIO ISOLADO"
"70","AKSY PSICOLOGIA E CONSULTORIA LTDA","AKSY PSICOLOGIA E CONSULTORIA","AV. DOM HELDER CAMARA","PILARES","2139043894",-22.8877775,-43.2849872,"22","CONSULTORIO ISOLADO"
"71","CLINICA DR.VINICIO AUGUSTINHO ALBA","ALBA CENTER CLINICA DR.VINICIO AUGUSTINHO ALBA","RUA IPIRANGA","LARANJEIRAS","25575788",-22.9353039,-43.1814834,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"72","ALBERTO COIMBRA DUQUE","ALBERTO COIMBRA DUQUE","AV. RIO BRANCO","CENTRO","2527-5431",-22.9059583,-43.1773198,"22","CONSULTORIO ISOLADO"
"73","ALCIEDA RIBEIRO MOTTA CAVALCANTE","ALCIEDA RIBEIRO MOTTA CAVALCANTE","RUA CONDE DE BONFIM","TIJUCA","25671345",-22.9240306,-43.2325491,"22","CONSULTORIO ISOLADO"
"74","ALERCLIN CLINICA LTDA","ALERCLIN CLINICA","RUA CORONEL AGOSTINHO","CAMPO GRANDE","24121220",-22.9046629,-43.5595455,"22","CONSULTORIO ISOLADO"
"75","ALERGIA CLINICA MAGALHAES RIOS LTDA","ALERGIA CLINICA MAGALHAES RIOS","R. POMPEU LOUREIRO","COPACABANA","22367327",-22.9733856,-43.1922693,"22","CONSULTORIO ISOLADO"
"76","ALERGO AR CONS. MED. DE TRAT. DE ALERGIA E RESPIRACAO S/S.","ALERGO AR BARRA DA TIJUCA","AV. ARMANDO LOMBARDI","BARRA DA TIJUCA","21 2491-2860",-23.006141,-43.3148958,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"77","ALERGO AR CONS. MED. DE TRAT. DE ALERGIA E RESPIRACAO S/S.","ALERGO AR CENTRO","RUA SETE DE SETEMBRO","CENTRO","(21) 3515-0800",-22.9052205,-43.1782938,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"78","ALERGO AR CONS. MED. DE TRAT. DE ALERGIA E RESPIRACAO S/S.","ALERGO AR MADUREIRA","ESTRADA DO PORTELA","MADUREIRA","21 3359-4384",-22.8726776,-43.3389441,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"79","ALERGO AR CONS. MED. DE TRAT. DE ALEGIA E RESPIRACAO S/S.","ALERGO AR TIJUCA","RUA DESEMBARGADOR ISIDRO","TIJUCA","21 3515-0800",-22.9261397,-43.2329287,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"80","DIAS DA GAMA SERVICOS MEDICOS","ALERGOBARRA","AV DAS AMERICAS","BARRA DA TIJUCA","(21)21327870",-23.0038509,-43.3217863,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"81","CENTRO DE AVALIACAO DE ALERGIA E IMUNOLOGIA LTDA","ALERGOCARE","RUA SENADOR DANTAS","CENTRO","22402054",-22.9103645,-43.1773863,"22","CONSULTORIO ISOLADO"
"82","ALERGOMED SERVICOS MEDICOS LTDA","ALERGOMED","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","31713171",-22.9998142,-43.3496509,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"83","ALERGOMED SERVICOS MEDICOS LTDA","ALERGOMED SERVICOS MEDICOS","AV. DAS AMERICAS","BARRA DA TIJUCA","24301598",-23.000281,-43.3615336,"22","CONSULTORIO ISOLADO"
"84","ALESSANDRA SCHIAPPACASSA","ALESSANDRA SCHIAPPACASSA","ESTRADA DE JACAREPAGUA","FREGUESIA","21 2430-0171",-22.9435262,-43.3405977,"22","CONSULTORIO ISOLADO"
"85","ALESSANDRO DOMINGUEZ GARCIA","ALESSANDRO DOMINGUEZ GARCIA","AVN NOSSA SENHORA DE COPACABANA","COPACABANA","21 3495-5990",-22.9728725,-43.1882107,"22","CONSULTORIO ISOLADO"
"86","ALESSANDRO DOMINGUEZ GARCIA","ALESSANDRO DOMINGUEZ GARCIA","AVN NOSSA SENHORA DE COPACABANA","COPACABANA","2236-1135",-22.9690994,-43.1846132,"22","CONSULTORIO ISOLADO"
"87","ALEXANDRA DE GOUVEA VIANNA","ALEXANDRA DE GOUVEA VIANNA","RUA GAL VENANCIO FLORES","LEBLON","21460288",-22.9857677,-43.2248231,"22","CONSULTORIO ISOLADO"
"88","ALEXANDRE BRAMILI PERCEGONI","ALEXANDRE BRAMILI PERCEGONI","RUA CARDOSO DE MORAIS","BONSUCESSO","2260-5610",-22.8650153,-43.2547844,"22","CONSULTORIO ISOLADO"
"89","ALEXANDRE CARLOS MAGNO","ALEXANDRE CARLOS MAGNO","RUA SILVA CARDOSO","BANGU","33372672",-22.8767734,-43.4635749,"22","CONSULTORIO ISOLADO"
"90","ALEXANDRE FRANCISCO CRAVEIRO DE ALMEIDA","ALEXANDRE FRANCISCO CRAVEIRO DE ALMEIDA","ESTRADA DOS TRES RIOS","JACAREPAGUA","2133928566",-22.9254536,-43.3149842,"22","CONSULTORIO ISOLADO"
"91","ALEXANDRE RACHID DE SOUZA","ALEXANDRE RACHID DE SOUZA - BARRA","AV. DAS AMERICAS","BARRA DA TIJUCA","2494-5233",-22.9998142,-43.3496509,"22","CONSULTORIO ISOLADO"
"92","ALEXANDRE RACHID DE SOUZA","ALEXANDRE RACHID DE SOUZA - TIJUCA","RUA SORIANO DE SOUZA","TIJUCA","2567-8632",-22.923607,-43.2353592,"22","CONSULTORIO ISOLADO"
"93","DR.LIMAS SMILE CENTER CLINICA ODONTOLOGICA LTDA","ALEXANDRO LIMA E ANDREA CLINICA ODONTOLOGICA","RUA VISCONDE DE PIRAJA","IPANEMA","2125134016",-22.9842291,-43.2041497,"22","CONSULTORIO ISOLADO"
"94","ALFRED LEMLE E ALEXANDRE P CARDOSO P ASSOCIADOS SC LTDA","ALFRED LEMLE E ALEXANDRE P CARDOSO P ASSOCIADOS","AV ATAULFO DE PAIVA","LEBLON","(21)22597854",-22.9838357,-43.2173542,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"95","ALICE MARIA LOUREIRO SERVICOS DE ODONTOLOGIA LTDA","ALICE MARIA ODONTOLOGIA","RUA VOLUTARIOS DA PATRIA","BOTAFOGO","2527-4746",-22.9551989,-43.1950956,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"96","ALIVIAR CONSULTORIOS MEDICOS LTDA","ALIVIAR MEDICINA DA DOR","AV ARMANDO LOMBARDI","BARRA DA TIJUCA","2130781448",-23.006141,-43.3148958,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"97","ALK BONSUCESSO SERCICOS MEDICOS DE ONCOLOGIA E CIRURGIA LTDA","ALK BONSUCESSO SERCICOS MEDICOS DE ONCOLOGIA E CIRURGIA","RUA CARDOSO DE MORAIS","BONSUCESSO","2139778521",-22.8631572,-43.2541627,"22","CONSULTORIO ISOLADO"
"98","ALLELLO DIAGNOSTICO LABORATORIAL LTDA","ALLELLO","AV N SRA DE COPACABANA","COPACABANA","( 2)13816168",-22.9739827,-43.1889172,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"99","ALLEVIARE CONSULTORIOS INTEGRADOS LTDA","ALLEVIARE CONSULTORIOS INTEGRADOS","AVENIDA RIO BRANCO","CENTRO","2220.6071",-22.9059583,-43.1773198,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"100","ALM REABILITACAO LTDA","ALM REABILITACAO","RUA PARANAPUAM","TAUA","22605957",-22.7954685,-43.1828429,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"101","ALOISIO PEREIRA DE MEDEIROS CLINICA MEDICA LTDA","ALOISIO PEREIRA DE MEDEIROS CLINICA MEDICA","RUA ALMIRANTE TAMANDARE","FLAMENGO","(21) 2285-6127",-22.9320868,-43.176745,"22","CONSULTORIO ISOLADO"
"102","AMA ASSISTENCIA MEDICA ALTERNATIVA LTDA","AMA ASSISTENCIA MEDICA ALTERNATIVA","RUA RANGEL PESTANA","BANGU","33323301",-22.8817096,-43.4674761,"4","POLICLINICA"
"103","AMACLIN ODONTOLOGIA ESPECIALIZADA LTDA","AMACLIN ODONTOLOGIA","ESTRADA DOS TRES RIOS","JACAREPAGUA","33420770",-22.9257954,-43.3151981,"22","CONSULTORIO ISOLADO"
"104","AMACOR SERVICOS MEDICOS E EXAMES COMPLEMENTARES LTDA","AMACOR SERVICOS MEDICOS CAMPO GRANDE","RUA AUGUSTO DE VASCONCELOS","CAMPO GRANDE","(21)24135466",-22.9067079,-43.5626889,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"105","AMACOR SERVICOS MEDICOS E EXAMES COMPLEMENTARES LTDA","AMACOR SERVICOS MEDICOS CENTRO","RUA URUGUAIANA","CENTRO","(21)25078306",-22.9042382,-43.1799268,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"106","AMACOR SERVICOS MEDICOS E EXAMES COMPLEMENTARES LTDA","AMACOR SERVICOS MEDICOS MEIER","RUA ARQUIAS CORDEIRO","MEIER","(21)22014246",-22.901875,-43.2774393,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"107","AMANDA APARECIDA DE OLIVEIRA SIQUEIRA","AMANDA APARECIDA DE OLIVEIRA SIQUEIRA","RUA DIAS DA CRUZ","MEIER","83774562",-22.9026018,-43.2812587,"22","CONSULTORIO ISOLADO"
"108","AMANDA NUNES DE SOUZA","AMANDA NUNES DE SOUZA","AVN ALFREDO BALTHAZAR DA SILVEIRA","RECREIO DOS BANDEIRANTES","21 24986772",-23.0107988,-43.4423273,"22","CONSULTORIO ISOLADO"
"109","AMAURY MENDES JUNIOR-CLINICA GINECOLOGICA E TERP.SEX.LTDA","AMAURY MENDES JUNIOR-CLINICA GINECOLOGICA E TERP.SEX UAL","AVENIDA NOSSA SENHORA DE COPACABANA","COPACABANA","25473780",-22.9736584,-43.1884353,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"110","AMBULATORIO DA PROVIDENCIA","AMBULATORIO DA PROVIDENCIA","RUA FRANCISCO EUGENIO","IMPERIAL DE SAO CRISTOVAO","21 22548361",-22.9082849,-43.2202093,"4","POLICLINICA"
"111","AMBULATORIO SANTA SOPHIA LTDA","AMBULATORIO SANTA SOPHIA","AV BRASIL","IRAJA","38883832",-22.8305437,-43.3489484,"22","CONSULTORIO ISOLADO"
"112","ASSISTENCIA MEDICA GUARATIBA LTDA","AMEG ASSISTENCIA MEDICA GUARATIBA","RUA AGUAS FORMOSAS","GUARATIBA","21 33163141",-22.9650704,-43.611369,"4","POLICLINICA"
"113","AMEP ASSISTENCIA MEDICA ESPECIALIZADA LTDA","AMEP ASSISTENCIA MEDICA ESPECIALIZADA","RUA ARAGUAIA","FREGUESIA","(21)33921983",-22.9367865,-43.341554,"36","CLINICA/CENTRO DE ESPECIALIDADE"
