CNES,Razão Social,Nome de Fantasia,Logradouro,Número,Complemento,Bairro,CEP,Telefone,lat,lon,Código Esfera Administrativa,Esfera Administrativa,Código Da Atividade,Atividade De Ensino,Código Da Natureza Organização,Natureza Da Organização,Tipo Da Unidade,Tipo De Estabelecimento
3203611,ACPS ASSESSORIA DE SERVICOS MEDICOS,ACPS ASSESSORIA DE SERVICOS MEDICOS,AV NILO PECANHA,38,1 ANDAR,CENTRO,20020100,(21)25174216,-22.9064622,-43.1767538,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
7089244,ACWCOSTA SERVICOS MEDICOS LTDA,ACWCOSTA SERVICOS MEDICOS,RUA SIQUEIRA CAMPOS,43,SL 916,COPACABANA,22031071,(21)22554356,-22.9646697,-43.1906277,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3382125,DIAGNOSTICOS DA AMERICA S.A,ADLAB - LEBLON,AVENIDA ATAULFO DE PAIVA,586,SALA 204,IPANEMA,22440032,2227-8080,-22.9839592,-43.2206926,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6167829,UNADERM UNIDADE DE ALERGIA E DERMATOLOGIA S/C LTDA.,ADRIANA AQUINO CLINICA DERMATOLOGICA,RUA VISCONDE DE PIRAJA,433,SALA 501,IPANEMA,22410002,21-22879696,-22.9841612,-43.2083257,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7250010,ADRIANA LOPES MACEDO,ADRIANA LOPES MACEDO,AVN DAS AMERICAS,3500,BL 04 SL 604 605 606,BARRA DA TIJUCA,22640102,3882-5222,-22.9996874,-43.3485302,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6561209,ADRIANA QUINTANS ODONTOLOGIA INTEGRADA LTDA,ADRIANA QUINTANS ODONTOLOGIA INTEGRADA,RUA DOIS DE DEZEMBRO,78,SALA 512,FLAMENGO,22220040,21 22852742,-22.9297655,-43.1768741,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6795978,CONSULTORIO PEDIATRICO MARECHAL HERMES LTDA,ADUM E ADUM PEDIATRAS,RUA AURELIO VALPORTO,82,A,MARECHAL HERMES,21555560,2124515180,-22.8582271,-43.3701229,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6716822,AEDP CENTRO DE NEUROPSICOTERAPIA LTDA,AEDP CENTRO DE NEUROPSICOTERAPIA,RUA GENERAL VENANCIO FLORES,305,SALA 807,LEBLON,22441090,22212063,-22.9845753,-43.2252382,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6804780,AF SERVICOS MEDICOS E CIRURGICOS LTDA,AF SERVICOS MEDICOS E CIRURGICOS,ESTRADA DO DENDE,1086,,MONERO,21920001,21220755,-22.7971636,-43.193596,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7176511,ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP - TDN,RUA PAULO BARRETO,91,,BOTAFOGO,22280010,32090898,-22.9552,-43.1863305,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6805590,AFONSO DUARTE SERVICOS MEDICOS LTDA,AFONSO DUARTE SERVICOS MEDICOS,RUA VISCONDE DE PIRAJA,351,SALA 804,IPANEMA,22410003,21 25219995,-22.9843885,-43.2056349,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5684765,AIR ASSISTENCIA INTENSIVA RESPIRATORIA LTDA,AIR ASSISTENCIA INTENSIVA RESPIRATORIA,AV. DAS AMERICAS,4666,SALA 309,BARRA DA TIJUCA,22640102,30781508,-22.9994202,-43.3579828,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6203698,NEW AIR LIFE CLINICA DE ALERGIA E DOENCAS RESPIRATORIAS LTDA,AIR CLINIC,AV. DAS AMERICAS,700,BLOCO 8 LOJA 220 D,BARRA DA TIJUCA,22640100,2494-9049,-23.0038509,-43.3217863,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6496199,AIS ASSISTENCIA INTEGRAL A SAUDE LTDA,AIS ASSISTENCIA INTEGRAL A SAUDE,ESTRADA DO PORTELA,99,SALA:626,MADUREIRA,21351050,2133900636,-22.8726776,-43.3389441,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6538827,AJ SERVICOS PSICOLOGISOC 125 LTDA,AJ SERVICOS,RUA ESPUMAS,125,,JARDIM GUANABARA,20941170,32836856,-22.8116781,-43.2099891,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7267401,AJC ASSISTENCIA MEDICA LTDA,AJC ASSISTENCIA MEDICA,RUA VOLUNTARIOS DA PATRIA,190,SALA 224,BOTAFOGO,22270010,2125381973,-22.9526989,-43.1883571,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7292848,AKSY PSICOLOGIA E CONSULTORIA LTDA,AKSY PSICOLOGIA E CONSULTORIA,AV. DOM HELDER CAMARA,5555,SALA 1114,PILARES,20771001,2139043894,-22.8877775,-43.2849872,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
5710766,CLINICA DR.VINICIO AUGUSTINHO ALBA,ALBA CENTER CLINICA DR.VINICIO AUGUSTINHO ALBA,RUA IPIRANGA,114,,LARANJEIRAS,22231120,25575788,-22.9353039,-43.1814834,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7320345,ALBERTO COIMBRA DUQUE,ALBERTO COIMBRA DUQUE,AV. RIO BRANCO,156,SALA 1010,CENTRO,22271110,2527-5431,-22.9059583,-43.1773198,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,10,SERVICO SOCIAL AUTONOMO,22,CONSULTORIO ISOLADO
7359632,ALCIEDA RIBEIRO MOTTA CAVALCANTE,ALCIEDA RIBEIRO MOTTA CAVALCANTE,RUA CONDE DE BONFIM,344,BLC 1 SL 1307,TIJUCA,20520054,25671345,-22.9240306,-43.2325491,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7042981,ALERCLIN CLINICA LTDA,ALERCLIN CLINICA,RUA CORONEL AGOSTINHO,76,SALA 13,CAMPO GRANDE,23050360,24121220,-22.9046629,-43.5595455,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7222599,ALERGIA CLINICA MAGALHAES RIOS LTDA,ALERGIA CLINICA MAGALHAES RIOS,R. POMPEU LOUREIRO,39,102,COPACABANA,22061000,22367327,-22.9733856,-43.1922693,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
